method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac_hippo,logreg,0,0.7231833910034602,0.6470588235294117,0.5999999999999999,0.5294117647058824,0.7647058823529411
brainiac_hippo,logreg,1,0.7301038062283737,0.7352941176470589,0.6896551724137931,0.5882352941176471,0.8823529411764706
brainiac_hippo,logreg,2,0.7197231833910035,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
brainiac_hippo,logreg,3,0.643598615916955,0.6176470588235294,0.5806451612903226,0.5294117647058824,0.7058823529411765
brainiac_hippo,logreg,4,0.3771626297577855,0.3235294117647059,0.34285714285714286,0.35294117647058826,0.29411764705882354
brainiac_hippo,svm_linear,0,0.6937716262975777,0.5882352941176471,0.6111111111111113,0.6470588235294118,0.5294117647058824
brainiac_hippo,svm_linear,1,0.6816608996539791,0.6470588235294117,0.5999999999999999,0.5294117647058824,0.7647058823529411
brainiac_hippo,svm_linear,2,0.6038062283737025,0.5882352941176471,0.6111111111111113,0.6470588235294118,0.5294117647058824
brainiac_hippo,svm_linear,3,0.6505190311418684,0.6470588235294118,0.625,0.5882352941176471,0.7058823529411765
brainiac_hippo,svm_linear,4,0.33217993079584773,0.3235294117647059,0.30303030303030304,0.29411764705882354,0.35294117647058826
brainiac_hippo,svm_rbf,0,0.7301038062283737,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
brainiac_hippo,svm_rbf,1,0.5,0.5,0.6666666666666666,1.0,0.0
brainiac_hippo,svm_rbf,2,0.7024221453287197,0.5588235294117647,0.5714285714285715,0.5882352941176471,0.5294117647058824
brainiac_hippo,svm_rbf,3,0.6643598615916956,0.6176470588235294,0.5806451612903226,0.5294117647058824,0.7058823529411765
brainiac_hippo,svm_rbf,4,0.532871972318339,0.4411764705882353,0.48648648648648646,0.5294117647058824,0.35294117647058826
brainiac_hippo,random_forest,0,0.8269896193771626,0.7352941176470589,0.6399999999999999,0.47058823529411764,1.0
brainiac_hippo,random_forest,1,0.7647058823529411,0.6764705882352942,0.6451612903225806,0.5882352941176471,0.7647058823529411
brainiac_hippo,random_forest,2,0.8062283737024222,0.7941176470588236,0.7741935483870968,0.7058823529411765,0.8823529411764706
brainiac_hippo,random_forest,3,0.6557093425605536,0.6470588235294117,0.5714285714285714,0.47058823529411764,0.8235294117647058
brainiac_hippo,random_forest,4,0.46712802768166095,0.5294117647058824,0.4666666666666667,0.4117647058823529,0.6470588235294118
brainiac_hippo,xgboost,0,0.8062283737024221,0.7647058823529411,0.7333333333333334,0.6470588235294118,0.8823529411764706
brainiac_hippo,xgboost,1,0.8062283737024221,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
brainiac_hippo,xgboost,2,0.8512110726643598,0.7352941176470589,0.7428571428571428,0.7647058823529411,0.7058823529411765
brainiac_hippo,xgboost,3,0.6539792387543253,0.6470588235294117,0.5999999999999999,0.5294117647058824,0.7647058823529411
brainiac_hippo,xgboost,4,0.588235294117647,0.5588235294117647,0.5714285714285715,0.5882352941176471,0.5294117647058824
brainiac_hippo,lightgbm,0,0.8131487889273357,0.7352941176470589,0.6896551724137931,0.5882352941176471,0.8823529411764706
brainiac_hippo,lightgbm,1,0.7439446366782008,0.7352941176470589,0.6399999999999999,0.47058823529411764,1.0
brainiac_hippo,lightgbm,2,0.7785467128027681,0.6470588235294117,0.6842105263157895,0.7647058823529411,0.5294117647058824
brainiac_hippo,lightgbm,3,0.6643598615916955,0.6470588235294117,0.5999999999999999,0.5294117647058824,0.7647058823529411
brainiac_hippo,lightgbm,4,0.5640138408304498,0.5,0.5142857142857143,0.5294117647058824,0.47058823529411764
