method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
brainiac_hippo,logreg,0,0.662962962962963,0.6342592592592593,0.6250000000000001,0.75,0.5185185185185185
brainiac_hippo,logreg,1,0.5388888888888889,0.5712962962962963,0.5238095238095238,0.55,0.5925925925925926
brainiac_hippo,logreg,2,0.7055555555555556,0.6509259259259259,0.5454545454545455,0.45,0.8518518518518519
brainiac_hippo,logreg,3,0.5888888888888889,0.5962962962962963,0.5581395348837209,0.6,0.5925925925925926
brainiac_hippo,logreg,4,0.674074074074074,0.6694444444444444,0.5625000000000001,0.45,0.8888888888888888
brainiac_hippo,svm_linear,0,0.7092592592592593,0.6388888888888888,0.5555555555555556,0.5,0.7777777777777778
brainiac_hippo,svm_linear,1,0.5166666666666667,0.5083333333333333,0.38888888888888884,0.35,0.6666666666666666
brainiac_hippo,svm_linear,2,0.7037037037037037,0.587962962962963,0.37037037037037035,0.25,0.9259259259259259
brainiac_hippo,svm_linear,3,0.5537037037037037,0.47129629629629627,0.36842105263157887,0.35,0.5925925925925926
brainiac_hippo,svm_linear,4,0.6777777777777777,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
brainiac_hippo,svm_rbf,0,0.6222222222222222,0.5,0.0,0.0,1.0
brainiac_hippo,svm_rbf,1,0.6129629629629629,0.5703703703703704,0.4571428571428572,0.4,0.7407407407407407
brainiac_hippo,svm_rbf,2,0.638888888888889,0.487962962962963,0.08695652173913045,0.05,0.9259259259259259
brainiac_hippo,svm_rbf,3,0.5694444444444444,0.5518518518518518,0.4444444444444445,0.4,0.7037037037037037
brainiac_hippo,svm_rbf,4,0.6333333333333333,0.537962962962963,0.24,0.15,0.9259259259259259
brainiac_hippo,random_forest,0,0.7092592592592593,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
brainiac_hippo,random_forest,1,0.5296296296296297,0.5148148148148148,0.4210526315789474,0.4,0.6296296296296297
brainiac_hippo,random_forest,2,0.65,0.5324074074074074,0.3333333333333333,0.25,0.8148148148148148
brainiac_hippo,random_forest,3,0.588888888888889,0.6333333333333333,0.5853658536585366,0.6,0.6666666666666666
brainiac_hippo,random_forest,4,0.6370370370370371,0.6129629629629629,0.4285714285714285,0.3,0.9259259259259259
brainiac_hippo,xgboost,0,0.7537037037037037,0.6518518518518519,0.6,0.6,0.7037037037037037
brainiac_hippo,xgboost,1,0.4925925925925926,0.5712962962962963,0.5238095238095238,0.55,0.5925925925925926
brainiac_hippo,xgboost,2,0.5351851851851852,0.5518518518518518,0.4444444444444445,0.4,0.7037037037037037
brainiac_hippo,xgboost,3,0.5981481481481481,0.5712962962962963,0.5238095238095238,0.55,0.5925925925925926
brainiac_hippo,xgboost,4,0.6166666666666668,0.6509259259259259,0.5454545454545455,0.45,0.8518518518518519
brainiac_hippo,lightgbm,0,0.7981481481481482,0.7138888888888889,0.6666666666666667,0.65,0.7777777777777778
brainiac_hippo,lightgbm,1,0.49259259259259264,0.5092592592592593,0.46511627906976744,0.5,0.5185185185185185
brainiac_hippo,lightgbm,2,0.6851851851851851,0.5888888888888889,0.47058823529411764,0.4,0.7777777777777778
brainiac_hippo,lightgbm,3,0.5685185185185185,0.5398148148148149,0.46153846153846156,0.45,0.6296296296296297
brainiac_hippo,lightgbm,4,0.612962962962963,0.6203703703703703,0.5405405405405405,0.5,0.7407407407407407
