method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
fusion_early,logreg_l2,0,0.8166089965397925,0.6764705882352942,0.6857142857142857,0.7058823529411765,0.6470588235294118
fusion_early,logreg_l2,1,0.903114186851211,0.8823529411764706,0.8749999999999999,0.8235294117647058,0.9411764705882353
fusion_early,logreg_l2,2,0.9446366782006921,0.9411764705882353,0.9375,0.8823529411764706,1.0
fusion_early,logreg_l2,3,0.820069204152249,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
fusion_early,logreg_l2,4,0.8650519031141868,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
fusion_early,logreg_l1,0,0.754325259515571,0.5588235294117647,0.5714285714285715,0.5882352941176471,0.5294117647058824
fusion_early,logreg_l1,1,0.8927335640138409,0.8235294117647058,0.8125,0.7647058823529411,0.8823529411764706
fusion_early,logreg_l1,2,0.9515570934256055,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
fusion_early,logreg_l1,3,0.833910034602076,0.7058823529411764,0.6666666666666667,0.5882352941176471,0.8235294117647058
fusion_early,logreg_l1,4,0.823529411764706,0.7352941176470589,0.6896551724137931,0.5882352941176471,0.8823529411764706
fusion_early,svm_linear,0,0.8373702422145328,0.7647058823529411,0.7647058823529412,0.7647058823529411,0.7647058823529411
fusion_early,svm_linear,1,0.8961937716262974,0.8823529411764706,0.8749999999999999,0.8235294117647058,0.9411764705882353
fusion_early,svm_linear,2,0.9515570934256055,0.9117647058823529,0.9032258064516129,0.8235294117647058,1.0
fusion_early,svm_linear,3,0.8235294117647058,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
fusion_early,svm_linear,4,0.8858131487889274,0.7647058823529411,0.7142857142857143,0.5882352941176471,0.9411764705882353
fusion_early,pca_logreg,0,0.8304498269896194,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765
fusion_early,pca_logreg,1,0.8961937716262975,0.8529411764705882,0.8484848484848485,0.8235294117647058,0.8823529411764706
fusion_early,pca_logreg,2,0.9204152249134948,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
fusion_early,pca_logreg,3,0.8027681660899654,0.7647058823529411,0.7500000000000001,0.7058823529411765,0.8235294117647058
fusion_early,pca_logreg,4,0.7889273356401384,0.6764705882352942,0.6206896551724139,0.5294117647058824,0.8235294117647058
