feature,n_folds_selected
emb_565,5
emb_312,5
emb_203,5
emb_479,5
emb_413,4
emb_147,4
emb_47,4
emb_253,4
emb_441,4
emb_435,4
emb_531,3
emb_647,3
emb_739,3
emb_644,3
emb_13,3
emb_563,3
emb_310,3
emb_543,3
emb_118,3
emb_451,3
emb_221,3
emb_611,2
emb_100,2
emb_645,2
emb_382,2
emb_35,2
emb_355,2
emb_66,2
emb_37,2
emb_285,2
emb_477,2
emb_483,2
emb_262,2
emb_569,2
emb_149,2
emb_150,2
emb_740,2
emb_513,2
emb_169,2
emb_177,2
emb_715,2
emb_59,2
emb_72,2
emb_246,2
emb_696,2
emb_574,1
emb_591,1
emb_608,1
emb_637,1
emb_593,1
emb_618,1
emb_588,1
emb_671,1
emb_642,1
emb_649,1
emb_81,1
emb_80,1
emb_79,1
emb_75,1
emb_748,1
emb_74,1
emb_738,1
emb_732,1
emb_723,1
emb_719,1
emb_705,1
emb_689,1
emb_688,1
emb_680,1
emb_678,1
emb_551,1
emb_667,1
emb_663,1
emb_65,1
emb_553,1
emb_0,1
emb_550,1
emb_549,1
emb_289,1
emb_268,1
emb_267,1
emb_260,1
emb_258,1
emb_257,1
emb_229,1
emb_217,1
emb_199,1
emb_184,1
emb_182,1
emb_166,1
emb_161,1
emb_154,1
emb_131,1
emb_121,1
emb_116,1
emb_112,1
emb_101,1
emb_303,1
emb_331,1
emb_344,1
emb_452,1
emb_535,1
emb_528,1
emb_505,1
emb_497,1
emb_495,1
emb_494,1
emb_486,1
emb_46,1
emb_431,1
emb_348,1
emb_418,1
emb_402,1
emb_39,1
emb_385,1
emb_376,1
emb_368,1
emb_364,1
emb_358,1
emb_82,1
