method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
shap_radiomics,shap_logreg,0,0.6153846153846154,0.6131221719457014,0.5217391304347826,0.46153846153846156,0.7647058823529411
shap_radiomics,shap_logreg,1,0.5520361990950227,0.5452488687782806,0.4347826086956522,0.38461538461538464,0.7058823529411765
shap_radiomics,shap_logreg,2,0.5067873303167421,0.4683257918552036,0.2857142857142857,0.23076923076923078,0.7058823529411765
shap_radiomics,shap_logreg,3,0.6425339366515836,0.660633484162896,0.6153846153846154,0.6153846153846154,0.7058823529411765
shap_radiomics,shap_logreg,4,0.7330316742081449,0.6515837104072397,0.5833333333333334,0.5384615384615384,0.7647058823529411
