comparison,auc_a,auc_b,auc_diff,z,p_value,ci95_diff_low,ci95_diff_high,label
Radiomics SHAP (shap_logreg) vs sem selecao (svm_rbf),0.7204444444444444,0.7314074074074075,-0.010962962962963063,-0.475511398758686,0.6344225105568815,-0.05615095943055584,0.034225033504629715,Radiomics: SHAP-selecionado vs sem selecao
Fusao SHAP (shap_logreg) vs sem selecao (pca_logreg),0.7694074074074075,0.751851851851852,0.017555555555555546,1.1094361812679683,0.2672420612101172,-0.013459197225954744,0.04857030833706584,Fusao: SHAP-selecionado vs sem selecao
BrainIAC 768d SHAP (shap_logreg) vs sem selecao (svm_linear),0.7541481481481482,0.7512222222222222,0.0029259259259259984,0.16907123547720285,0.8657406099515512,-0.03099359207267658,0.03684544392452858,BrainIAC 768d: SHAP-selecionado vs sem selecao
