method,intra_oasis1_classifier,intra_oasis1_auc,intra_oasis1_std,intra_oasis2_classifier,intra_oasis2_auc,intra_oasis2_std,intra_oasis1_gap_source,intra_oasis1_gap_classifier,intra_oasis1_gap_auc,cross_oasis1_to_oasis2_auc,cross_oasis2_to_oasis1_auc,gap_oasis1_to_oasis2,gap_oasis2_to_oasis1,mean_gap
brainiac,svm_linear,0.7496296296296296,0.04595056089580662,logreg,0.7095022624434388,0.11533580726194355,results_oasis1_mpr1,logreg,0.7074074074074075,0.6387330316742081,0.487037037037037,0.06867437573319934,0.22246522540640185,0.1455698005698006
radiomics,svm_rbf,0.7475925925925926,0.011777836011968764,svm_rbf,0.6398190045248869,0.11164648335414395,results_oasis1_mpr1,svm_rbf,0.7338888888888888,0.616289592760181,0.7169629629629629,0.11759929612870779,-0.07714395843807598,0.020227668845315905
volumetry,logreg,0.7844444444444444,0.03899016794217644,logreg,0.632579185520362,0.08605616349052363,results,logreg,0.7844444444444444,0.6495927601809954,0.7844444444444445,0.13485168426344896,-0.15186525892408254,-0.00850678733031679
