comparison,auc_a,auc_b,auc_diff,z,p_value,ci95_diff_low,ci95_diff_high,label
Radiomics SHAP (shap_logreg) vs sem selecao (logreg),0.796955017301038,0.790726643598616,0.006228373702422019,0.5672898456986757,0.570517274785947,-0.015290806570780701,0.02774755397562474,Radiomics: SHAP-selecionado vs sem selecao
Fusao SHAP (shap_logreg) vs sem selecao (svm_linear),0.8373702422145328,0.8726643598615917,-0.03529411764705892,-1.5499170915420668,0.1211614168051467,-0.07992648602710523,0.009338250732987385,Fusao: SHAP-selecionado vs sem selecao
BrainIAC 768d SHAP (shap_logreg) vs sem selecao (svm_linear),0.7767474048442906,0.8006920415224914,-0.023944636678200792,-1.2576446251558675,0.20852030693779722,-0.06126160758598569,0.013372334229584108,BrainIAC 768d: SHAP-selecionado vs sem selecao
