comparison,auc_a,auc_b,auc_diff,z,p_value,ci95_diff_low,ci95_diff_high,label
Radiomics SHAP (shap_logreg) vs sem selecao (svm_rbf),0.6018099547511313,0.6372850678733033,-0.035475113122172,-0.7968449955931496,0.42554105920573315,-0.12273326508897951,0.05178303884463552,Radiomics: SHAP-selecionado vs sem selecao
Fusao SHAP (shap_logreg) vs sem selecao (svm_linear),0.6260633484162896,0.6906787330316742,-0.06461538461538452,-1.7378000616542904,0.08224604981603112,-0.13749267161789128,0.008261902387122239,Fusao: SHAP-selecionado vs sem selecao
BrainIAC 768d SHAP (shap_logreg) vs sem selecao (logreg),0.6421719457013575,0.6888687782805429,-0.04669683257918544,-1.5078387758469451,0.13159579528384913,-0.10739681809573638,0.014003152937365496,BrainIAC 768d: SHAP-selecionado vs sem selecao
