method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
shap_fusion,shap_logreg,0,0.8333333333333333,0.6888888888888889,0.631578947368421,0.6,0.7777777777777778
shap_fusion,shap_logreg,1,0.6851851851851851,0.6462962962962963,0.6222222222222222,0.7,0.5925925925925926
shap_fusion,shap_logreg,2,0.7407407407407407,0.6509259259259259,0.5454545454545455,0.45,0.8518518518518519
shap_fusion,shap_logreg,3,0.8055555555555556,0.7953703703703703,0.7727272727272727,0.85,0.7407407407407407
shap_fusion,shap_logreg,4,0.8,0.6694444444444444,0.5625000000000001,0.45,0.8888888888888888
