feature,n_folds_selected
emb_203,5
emb_534,5
original_firstorder_Skewness,5
emb_541,5
emb_223,5
emb_243,5
emb_150,4
original_glszm_GrayLevelVariance,4
emb_208,4
emb_396,4
emb_646,4
emb_607,4
emb_37,4
emb_245,4
original_shape_Maximum2DDiameterColumn,4
emb_111,4
original_glcm_ClusterShade,4
emb_102,4
emb_512,3
emb_466,3
emb_70,3
emb_81,3
original_glrlm_LongRunHighGrayLevelEmphasis,3
emb_266,3
original_firstorder_InterquartileRange,3
emb_224,3
emb_678,3
emb_582,3
emb_351,3
emb_166,3
emb_78,3
emb_560,3
emb_71,3
emb_8,3
emb_575,3
emb_374,3
emb_117,3
emb_68,2
emb_739,2
emb_700,2
emb_383,2
emb_400,2
emb_390,2
emb_40,2
emb_0,2
emb_451,2
emb_453,2
emb_459,2
emb_47,2
emb_356,2
emb_610,2
emb_545,2
emb_556,2
emb_557,2
emb_558,2
emb_602,2
emb_58,2
emb_583,2
emb_587,2
emb_588,2
emb_647,2
emb_753,2
original_gldm_LargeDependenceLowGrayLevelEmphasis,2
emb_11,2
original_glszm_GrayLevelNonUniformityNormalized,2
original_gldm_SmallDependenceLowGrayLevelEmphasis,2
emb_225,2
original_gldm_DependenceEntropy,2
emb_232,2
original_ngtdm_Busyness,2
emb_129,2
emb_285,2
emb_269,2
emb_310,2
emb_105,2
emb_336,2
emb_322,2
emb_314,2
original_shape_Maximum2DDiameterRow,1
emb_626,1
emb_599,1
original_shape_MinorAxisLength,1
original_glszm_HighGrayLevelZoneEmphasis,1
original_glszm_LargeAreaHighGrayLevelEmphasis,1
original_glszm_SmallAreaLowGrayLevelEmphasis,1
original_glszm_LargeAreaLowGrayLevelEmphasis,1
original_ngtdm_Contrast,1
original_ngtdm_Strength,1
original_shape_Elongation,1
emb_630,1
emb_605,1
original_shape_Flatness,1
original_shape_LeastAxisLength,1
emb_63,1
emb_747,1
original_glrlm_RunEntropy,1
original_firstorder_Kurtosis,1
emb_597,1
emb_765,1
emb_72,1
emb_77,1
emb_88,1
original_firstorder_90Percentile,1
emb_691,1
emb_688,1
emb_671,1
emb_641,1
emb_664,1
emb_663,1
original_firstorder_RobustMeanAbsoluteDeviation,1
emb_659,1
original_glcm_MCC,1
emb_649,1
emb_748,1
emb_645,1
emb_598,1
emb_494,1
emb_593,1
emb_59,1
emb_308,1
emb_297,1
emb_277,1
emb_274,1
emb_270,1
emb_267,1
emb_258,1
emb_253,1
emb_240,1
emb_230,1
emb_22,1
emb_210,1
emb_21,1
emb_206,1
emb_195,1
emb_191,1
emb_19,1
emb_189,1
emb_185,1
emb_176,1
emb_169,1
emb_160,1
emb_156,1
emb_143,1
emb_133,1
emb_131,1
emb_115,1
emb_107,1
emb_101,1
emb_315,1
emb_326,1
emb_335,1
emb_45,1
emb_565,1
emb_564,1
emb_559,1
emb_536,1
emb_527,1
emb_524,1
emb_521,1
emb_508,1
emb_5,1
emb_1,1
emb_476,1
emb_46,1
emb_452,1
emb_443,1
emb_340,1
emb_441,1
emb_440,1
emb_437,1
emb_429,1
emb_410,1
emb_404,1
emb_401,1
emb_385,1
emb_377,1
emb_371,1
emb_359,1
emb_355,1
emb_347,1
original_shape_Sphericity,1
