feature,n_folds_selected
original_gldm_SmallDependenceLowGrayLevelEmphasis,5
original_ngtdm_Coarseness,5
original_glcm_Correlation,5
original_glszm_HighGrayLevelZoneEmphasis,5
original_glszm_LargeAreaHighGrayLevelEmphasis,5
original_firstorder_Skewness,5
original_firstorder_RobustMeanAbsoluteDeviation,5
original_firstorder_90Percentile,5
original_firstorder_InterquartileRange,5
original_shape_Maximum2DDiameterSlice,5
original_gldm_DependenceEntropy,5
original_glszm_GrayLevelVariance,5
original_ngtdm_Busyness,4
original_glszm_ZoneVariance,4
original_glcm_DifferenceVariance,4
original_glrlm_GrayLevelNonUniformityNormalized,4
original_glszm_SizeZoneNonUniformity,4
original_glszm_LargeAreaLowGrayLevelEmphasis,4
original_glszm_LargeAreaEmphasis,4
original_gldm_LowGrayLevelEmphasis,3
original_gldm_LargeDependenceLowGrayLevelEmphasis,3
original_gldm_DependenceNonUniformityNormalized,3
original_glrlm_LongRunHighGrayLevelEmphasis,3
original_glszm_LowGrayLevelZoneEmphasis,3
original_glrlm_RunVariance,3
original_glcm_MCC,3
original_glszm_SizeZoneNonUniformityNormalized,3
original_glszm_SmallAreaHighGrayLevelEmphasis,3
original_glszm_ZonePercentage,3
original_ngtdm_Complexity,3
original_shape_Maximum2DDiameterColumn,3
original_shape_MinorAxisLength,3
original_glcm_SumAverage,3
original_firstorder_10Percentile,3
original_firstorder_Uniformity,3
original_glcm_JointAverage,3
original_glcm_InverseVariance,3
original_glcm_Imc2,3
original_firstorder_Kurtosis,3
original_firstorder_MeanAbsoluteDeviation,3
original_firstorder_Minimum,2
original_glrlm_LowGrayLevelRunEmphasis,2
original_ngtdm_Contrast,2
original_firstorder_Mean,2
original_firstorder_Median,2
original_glrlm_ShortRunLowGrayLevelEmphasis,2
original_glrlm_ShortRunHighGrayLevelEmphasis,2
original_glrlm_LongRunEmphasis,2
original_glcm_MaximumProbability,2
original_glszm_GrayLevelNonUniformityNormalized,2
original_glszm_ZoneEntropy,2
original_glcm_Contrast,2
original_firstorder_Variance,2
original_shape_Elongation,2
original_glrlm_HighGrayLevelRunEmphasis,2
original_shape_Sphericity,2
original_shape_LeastAxisLength,2
original_glrlm_GrayLevelNonUniformity,2
original_shape_SurfaceVolumeRatio,2
original_glcm_Idmn,2
original_gldm_SmallDependenceHighGrayLevelEmphasis,2
original_shape_MajorAxisLength,2
original_gldm_LargeDependenceHighGrayLevelEmphasis,2
original_shape_Maximum3DDiameter,2
original_gldm_GrayLevelVariance,2
original_shape_Flatness,1
original_glszm_SmallAreaEmphasis,1
original_firstorder_Range,1
original_glszm_SmallAreaLowGrayLevelEmphasis,1
original_shape_SurfaceArea,1
original_firstorder_Entropy,1
original_firstorder_Energy,1
original_shape_MeshVolume,1
original_firstorder_TotalEnergy,1
original_shape_Maximum2DDiameterRow,1
original_firstorder_Maximum,1
original_ngtdm_Strength,1
original_glcm_JointEntropy,1
original_glszm_GrayLevelNonUniformity,1
original_glcm_Autocorrelation,1
original_glcm_Idm,1
original_glcm_SumEntropy,1
original_glcm_SumSquares,1
original_gldm_DependenceNonUniformity,1
original_gldm_DependenceVariance,1
original_gldm_GrayLevelNonUniformity,1
original_gldm_HighGrayLevelEmphasis,1
original_gldm_LargeDependenceEmphasis,1
original_glcm_Imc1,1
original_glcm_Idn,1
original_gldm_SmallDependenceEmphasis,1
original_glrlm_GrayLevelVariance,1
original_glcm_ClusterProminence,1
original_glcm_Id,1
original_glrlm_LongRunLowGrayLevelEmphasis,1
original_glrlm_RunEntropy,1
original_glrlm_RunLengthNonUniformity,1
original_glrlm_RunLengthNonUniformityNormalized,1
original_glrlm_RunPercentage,1
original_glcm_DifferenceEntropy,1
original_glrlm_ShortRunEmphasis,1
original_glcm_DifferenceAverage,1
original_glcm_ClusterTendency,1
original_shape_VoxelVolume,1
