method,classifier,fold,auc,balanced_accuracy,f1,sensitivity,specificity
shap_radiomics,shap_logreg,0,0.7148148148148148,0.663888888888889,0.5945945945945946,0.55,0.7777777777777778
shap_radiomics,shap_logreg,1,0.7296296296296296,0.7462962962962962,0.7346938775510204,0.9,0.5925925925925926
shap_radiomics,shap_logreg,2,0.6851851851851852,0.5583333333333333,0.4736842105263158,0.45,0.6666666666666666
shap_radiomics,shap_logreg,3,0.7796296296296297,0.6518518518518519,0.6,0.6,0.7037037037037037
shap_radiomics,shap_logreg,4,0.7722222222222223,0.637962962962963,0.48275862068965514,0.35,0.9259259259259259
